:Product: Daily Geomagnetic Data     2022_DGD.txt
:Issued: 0000 UT 01 Jan 2023
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             2022 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2022 08 11    12  2 2 3 3 3 3 2 3    57  2 3 3 7 7 6 5 2    16  2 2 2 3 3 4 4 3
2022 08 12     6  2 1 2 2 2 2 1 1    18  2 1 3 6 4 2 0 1     7  3 1 2 3 2 1 1 1
2022 08 13    10  2 2 3 3 3 2 2 2    18  1 2 2 4 4 5 3 2    10  2 2 3 3 3 2 2 2
2022 08 14     9  3 3 2 3 2 2 2 0     6  3 3 2 1 1 0 1 0     7  3 2 2 2 2 1 1 1
2022 08 15     6  1 1 2 2 3 2 1 1     8  1 1 1 0 2 5 1 0     6  1 2 2 2 2 2 1 1
2022 08 16     5  1 2 0 2 2 2 1 2     4  1 1 1 3 2 0 0 1     5  1 2 1 2 1 1 0 2
2022 08 17    22  2 3 1 3 3 4 5 5    17  1 3 1 3 3 4 4 4    31  2 3 2 3 2 4 6 6
2022 08 18    19  3 2 3 3 4 4 3 4    30  2 3 3 3 6 6 3 3    26  3 2 3 3 5 5 4 5
2022 08 19    15  3 3 1 2 2 4 4 3    25  3 4 3 4 5 3 5 2    20  3 3 2 2 2 4 5 4
2022 08 20    16  3 4 3 2 1 4 3 3    15  4 4 5 2 0 0 2 2    14  4 3 3 2 1 1 3 4
2022 08 21    13  2 2 2 3 3 4 3 2    18  3 3 1 4 3 5 3 2    14  3 2 2 3 3 4 3 2
2022 08 22     7  3 2 2 2 2 1 2 1     9  3 4 2 3 1 1 1 0     7  3 3 2 2 2 1 2 1
2022 08 23     3  0 1 0 1 2 0 1 2     2  1 1 0 1 1 0 1 1     4  1 1 1 1 1 0 0 2
2022 08 24     4  1 0 1 2 2 1 1 1     1  1 1 0 0 0 0 0 1     3  1 0 1 1 1 1 0 1
2022 08 25     5  1 1 1 2 2 1 1 2     2  1 1 0 0 2 0 0 1     5  1 1 2 2 2 1 1 2
2022 08 26     5  1 1 1 1 2 2 2 1     1  1 1 0 0 0 0 0 0     5  1 2 1 1 1 1 1 2
2022 08 27    11  1 1 1 3 4 2 3 3    15  1 1 1 4 5 3 3 2    14  2 1 2 4 4 3 3 3
2022 08 28     7  1 1 1 2 3 3 2 1    17  2 2 2 6 3 2 2 1     7  2 1 2 3 2 2 2 1
2022 08 29    13  2 4 3 3 3 2 3 1    21  2 4 5 4 5 1 2 0    14  2 4 3 3 3 2 3 1
2022 08 30    13  2 4 2 3 3 2 2 3    17  2 4 3 5 3 2 2 2    13  2 4 2 3 2 2 2 3
2022 08 31    12  3 3 1 2 3 2 2 4    13  2 2 2 4 4 2 2 3    13  3 3 2 3 2 2 2 4
2022 09 01     9  2 3 2 2 3 2 2 1     9  3 3 2 3 2 1 1 1     9  2 4 2 2 2 2 1 1
2022 09 02    10  2 1 2 3 2 2 1 4     7  1 0 2 2 4 1 1 1     8  2 1 2 2 2 1 1 4
2022 09 03    23  5 3 3 4 4 3 2 4    33  4 3 5 5 6 3 3 3    25  5 3 4 4 4 3 3 4
2022 09 04    33  4 4 5 5 4 4 3 5    91  5 6 7 7 6 7 5 5    64  5 6 6 6 5 6 4 5
2022 09 05    21  4 4 4 4 3 3 3 3    49  5 4 5 7 5 5 3 3    32  5 5 4 5 3 4 4 4
2022 09 06    14  3 3 3 3 3 2 3 3    31  5 4 5 4 5 4 3 2    20  4 4 3 3 3 3 4 4
2022 09 07    12  2 2 4 3 3 3 2 1    27  3 2 3 5 5 5 4 2    14  3 2 3 3 3 4 3 1
2022 09 08    17  2 4 4 3 3 2 2 4    36  2 3 6 6 5 4 3 3    19  3 4 4 3 3 3 3 4
2022 09 09    14  3 2 3 4 4 2 1 2    30  2 1 4 7 5 2 1 1    13  4 2 3 4 3 2 1 2
2022 09 10    10  2 1 3 2 3 2 3 2    31  2 2 4 4 6 6 3 1    12  3 2 3 2 3 3 3 2
2022 09 11     9  2 1 1 3 3 3 2 1    15  2 1 1 5 4 4 1 1     9  3 2 1 2 2 3 2 1
2022 09 12     9  2 2 3 3 3 1 2 1    23  1 3 6 5 4 2 0 1     9  3 3 3 2 2 1 2 1
2022 09 13     5  0 1 3 1 2 2 1 1     5  0 0 3 3 1 1 0 0     4  0 0 2 1 1 1 0 1
2022 09 14    10  1 0 3 2 2 2 3 4     6  0 0 1 2 3 1 2 3     9  1 0 2 2 2 2 3 4
2022 09 15     8  4 1 1 2 2 2 1 1     4  2 1 0 1 1 2 1 1     6  4 1 1 1 1 2 1 1
2022 09 16     5  0 2 1 1 2 3 1 1     2  0 1 0 1 0 1 0 1     4  1 2 1 2 1 1 0 1
2022 09 17     5  1 1 1 1 3 2 1 1     4  1 1 1 2 3 0 0 1     5  1 1 1 1 2 1 0 2
2022 09 18     9  2 2 3 2 3 2 2 2    22  2 2 5 5 5 2 2 2    11  2 2 3 3 3 2 2 2
2022 09 19     7  2 1 0 2 3 3 1 2    18  2 0 1 4 5 5 2 2    11  3 1 1 3 3 3 2 3
2022 09 20     6  2 2 1 2 2 2 2 1     6  2 2 1 2 2 2 1 1     8  2 2 1 2 2 2 3 2
2022 09 21     4  1 0 1 2 2 2 0 1     8  1 1 2 5 1 0 0 1     5  2 1 2 2 1 1 0 2
2022 09 22     5  0 1 1 1 2 2 1 3     3  0 0 0 0 2 1 1 2     6  0 1 1 1 2 2 1 3
2022 09 23    12  3 2 3 3 3 3 2 2    27  1 1 6 5 4 5 1 2    12  3 1 3 3 3 3 2 3
2022 09 24    10  2 3 2 2 3 3 2 2    22  2 3 3 6 4 3 2 2    13  2 4 2 3 3 3 3 3
2022 09 25     5  2 2 2 2 2 1 0 1    11  1 1 1 5 4 2 0 0     7  2 2 2 2 2 1 0 2
2022 09 26     5  1 1 0 1 1 2 1 3     4  1 0 0 2 3 0 0 1     6  2 1 0 1 1 1 1 3
2022 09 27    33  5 3 2 3 3 7 3 2    25  5 3 2 6 4 2 2 2    24  6 4 2 4 3 3 3 3
2022 09 28     3  1 1 0 1 1 2 1 1     3  2 1 0 0 0 1 2 0     5  2 1 1 1 1 1 2 1
2022 09 29     7  1 0 3 3 2 2 1 1     8  1 0 3 3 3 2 1 2     7  1 1 3 2 2 2 1 1
2022 09 30    12  2 4 4 2 3 2 1 0    27  1 3 5 5 6 3 1 0    17  3 4 4 3 3 2 1 1
2022 10 01     2  0 0 0 0 0 1 2 1     1  0 0 1 1 0 0 0 0     3   0.67  0.33  0.33  0.67  0.00  1.33  1.00  0.67
2022 10 02     9  2 2 0 2 2 2 2 4    23  1 1 0 6 4 3 2 5    12   2.33  2.00  1.00  2.33  2.00  2.67  2.00  4.67
2022 10 03    16  3 3 2 2 4 3 4 3    33  3 4 4 1 6 5 5 3    24   4.00  3.33  3.00  1.67  4.33  3.67  5.33  3.33
2022 10 04    13  2 3 4 2 2 2 3 3    18  2 5 5 4 1 1 2 1    16   3.00  3.67  4.00  2.67  1.33  1.67  4.00  2.67
2022 10 05    11  1 3 2 2 3 2 3 3    15  2 3 4 3 4 3 2 2    14   2.67  3.33  3.00  2.00  2.33  2.67  3.67  3.33
2022 10 06    14  2 2 3 2 4 3 4 2    27  2 2 5 5 5 4 3 3    18   2.67  2.67  3.67  2.33  3.33  3.33  4.33  3.67
2022 10 07    12  3 3 2 2 4 3 2 1    26  3 3 5 4 5 5 1 1    15   3.67  4.00  3.33  2.67  3.00  3.33  1.33  1.00
2022 10 08    10  1 2 3 2 3 3 2 2    23  2 2 4 5 5 4 3 2    12   1.67  3.00  3.33  2.00  3.33  3.00  2.67  2.00
2022 10 09    18  4 4 3 3 3 3 3 3    38  3 4 6 5 6 4 3 3    25   4.33  3.67  4.00  3.67  3.67  4.00  3.67  3.67
2022 10 10     8  2 3 2 3 1 2 1 2    12  3 2 2 5 1 1 1 2    10   2.67  3.33  2.00  3.33  1.33  1.67  1.67  2.33
2022 10 11     7  3 2 1 1 2 2 1 2     4  2 1 1 2 1 1 1 1     7   3.33  2.00  1.33  1.67  1.33  1.33  1.33  2.00
2022 10 12     4  1 0 0 1 3 1 1 1     3  0 0 1 2 2 2 1 0     6   1.33  0.67  0.67  1.33  2.33  1.00  2.33  1.67
2022 10 13     4  1 0 2 1 2 1 1 1     3  0 0 3 1 1 0 0 0     5   1.67  1.00  1.33  0.67  1.33  0.67  1.33  1.67
2022 10 14    16  2 3 4 4 4 2 2 2    28  1 4 6 4 5 4 1 2    18   2.33  2.67  4.33  4.00  4.33  2.67  1.33  2.67
2022 10 15    15  5 2 2 3 2 3 3 1    13  3 3 1 4 1 3 3 2    18   5.00  3.00  2.00  3.33  1.67  3.00  4.00  2.00
2022 10 16    11  2 1 2 3 4 3 1 2    30  2 1 4 6 6 4 2 2    16   3.00  1.67  2.33  4.33  4.00  3.00  1.67  3.33
2022 10 17     4  1 0 0 1 2 3 1 1     5  2 1 1 1 2 3 0 1     6   1.67  1.00  0.67  1.00  1.67  3.00  0.67  1.00
2022 10 18    -1  1 0 0 1 1 3-1-1     4  1 1 0 2 2 1 1 1     6   1.00  0.67  1.33  1.67  1.33  2.33  1.67  2.33
2022 10 19     2 -1-1-1-1-1-1 0 1     2  1 1 2 0 1 0 0 0     5   1.67  1.67  1.33  1.33  1.00  0.33  1.00  1.33
2022 10 20    -1  0 0 0 4 4 0 0-1    13  0 0 3 4 5 2 0 1     7   0.67  0.67  1.33  2.33  3.00  1.67  1.33  2.67
2022 10 21     4  1 1 2-1-1-1-1 1     4  1 1 2 3 1 0 1 0     5   1.33  1.00  1.33  1.67  0.33  1.00  1.67  1.33
2022 10 22    87  2 2 3 9-1-1-1 2    50  0 0 5 6 5 7 6 2    27   2.33  2.33  3.00  4.67  3.67  5.33  5.00  3.00
2022 10 23   139  1 2 2 9-1-1 9 3    12  2 2 3 1 2 4 3 3    16   3.00  2.33  2.33  1.33  1.67  4.00  4.33  4.00
2022 10 24   204  2 2 3 9 9 9 9 1    10  3 3 3 2 4 1 0 0     8   3.00  2.67  2.33  1.67  2.00  0.67  1.00  1.33
2022 10 25   172  0 0 1-1 9 9 9 0     4  0 0 2 2 1 3 0 1     5   1.33  1.00  1.33  1.67  1.00  2.00  0.33  0.67
2022 10 26    83  0 0 0-1 9-1-1 3     5  0 0 0 0 3 3 1 1     5   0.67  0.67  0.33  1.00  1.00  1.33  1.67  3.00
2022 10 27     6  2 1 2-1-1-1-1 2    22  1 2 3 5 5 5 2 1     9   2.33  1.67  2.00  2.67  3.00  2.67  2.00  2.00
2022 10 28    90  2 3 3 9-1-1-1 3    27  1 1 3 4 4 6 5 3    16   2.00  2.67  2.67  2.67  2.33  4.33  3.00  4.33
2022 10 29    94  3 3 4 9-1-1-1 3    49  4 4 7 6 5 5 3 2    26   4.00  3.67  5.00  4.67  3.67  3.33  3.00  3.33
2022 10 30    86  2 3 2 9-1-1-1 1    19  3 3 4 5 4 3 1 1    12   2.33  3.00  2.33  3.67  2.67  2.33  2.67  2.33
2022 10 31   108  2 2 3 9 3 9 3 1    24  1 2 4 5 5 5 2 2    11   2.33  3.00  2.67  2.67  2.00  3.33  2.33  1.67
2022 11 01    84  1 0 3-1 9-1-1 1    11  0 0 4 4 4 2 1 0     8   1.33  0.67  3.67  2.67  2.00  0.67  1.67  1.67
2022 11 02    -1  3 4 3-1-1-1-1-1    30  1 3 4 5 6 5 3 1    14   2.67  3.67  2.67  2.33  2.67  3.67  3.00  2.00
2022 11 03    16  2 1 3-1-1 4 3 4    48  2 1 5 5 6 7 4 4    26   3.00  1.67  3.67  4.00  4.67  5.00  3.67  4.33
2022 11 04    12  3 3 3 3 3 2 1 2    24  4 3 3 5 5 4 2 1    16   4.00  3.67  3.33  3.33  2.67  2.67  2.00  2.33
2022 11 05     8  3 3 2 3 2 1 1 0    22  2 2 3 6 5 3 1 0    10   3.33  3.33  2.33  3.00  2.00  1.67  1.00  0.67
2022 11 06     3  0 1 1 1 1 2 0 1     4  1 0 2 3 1 0 0 0     4   1.00  0.67  1.67  1.00  0.33  0.67  0.67  1.00
2022 11 07    12  1 1 2 2 4 4 3 2    45  0 1 0 6 6 7 5 2    19   1.00  1.33  2.00  3.33  4.33  4.67  4.33  2.67
2022 11 08     8  2 2 3 3 2 1 1 2    38  2 4 5 6 6 5 2 1    12   2.33  3.00  3.67  3.00  3.00  1.67  1.33  1.33
2022 11 09     8  2 4 2 2 2 1 1 0    14  2 3 5 4 3 0 0 0     7   3.00  3.33  2.67  1.67  1.00  0.33  0.33  0.00
2022 11 10     2  0 0 0 1 1 1 0 1     0  0 0 0 0 0 0 0 0     2   0.33  0.33  0.33  0.67  0.33  0.33  0.67  0.33
2022 11 11     9  0 1 3 2 3 3 2 2    23  0 0 5 5 5 4 2 1     9   0.67  1.33  2.67  2.00  2.33  3.00  2.33  2.67
2022 11 12     3  2 1 1 1 1 1 1 0     4  2 2 1 2 1 1 1 0     5   3.00  2.33  2.00  1.33  0.33  0.67  0.33  0.00
2022 11 13     6  1 3 1 1 2 2 1 1     9  0 0 0 3 4 3 3 1     7   0.67  3.00  1.00  1.33  2.00  2.00  2.00  1.33
2022 11 14     3  0 0 1 2 2 1 1 0     4  0 0 3 3 0 0 1 0     4   1.00  0.33  1.67  2.00  1.33  0.67  1.00  0.00
2022 11 15     2  1 1 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2   0.33  1.33  0.33  0.33  0.33  0.67  0.33  0.00
2022 11 16     2  1 0 0 0 1 1 1 1     0  0 0 0 0 0 0 1 0     2   0.33  0.00  0.00  0.33  0.33  1.00  1.33  0.67
2022 11 17     1  0 1 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2   0.00  1.00  0.33  0.67  0.67  0.33  0.67  0.33
2022 11 18     5  0 0 1 1 1 2 3 2     7  0 0 0 3 4 1 2 1     7   0.33  0.33  0.67  1.00  1.67  1.67  3.00  3.00
2022 11 19     4  2 0 1 1 2 2 1 1     2  2 0 1 1 1 0 0 0     5   2.33  0.33  1.33  1.33  1.33  0.67  1.00  1.00
2022 11 20     3  1 0 0 0 1 2 2 1     3  0 0 0 0 0 1 3 1     6   1.00  0.33  0.33  0.67  1.00  2.00  3.00  2.33
2022 11 21     8  3 3 2 2 2 1 1 1    11  2 3 3 4 3 2 1 0    10   3.67  3.67  2.33  2.00  2.00  1.67  1.33  1.33
2022 11 22     2  0 0 1 0 1 2 0 0     1  0 0 0 1 1 0 1 0     3   1.00  0.67  1.00  0.67  0.67  1.33  0.67  0.00
2022 11 23     1  0 0 0 0 1 1 1 0     1  0 0 0 1 1 0 0 0     3   0.00  0.33  0.67  0.33  1.00  1.00  1.33  0.67
2022 11 24     6  1 2 2 1 2 2 1 2     3  1 0 1 2 2 0 1 1     6   1.67  2.00  2.00  0.67  1.67  1.00  1.67  2.67
2022 11 25    15  1 3 4 3 3 2 2 4    43  1 4 7 5 5 5 3 3    20   2.33  3.67  4.33  3.33  3.33  3.00  3.33  4.00
2022 11 26    12  3 2 3 2 2 3 3 3    27  3 2 5 5 5 4 3 2    16   3.67  3.00  3.67  2.33  3.33  3.00  3.00  3.00
2022 11 27    10  2 3 1 2 3 2 3 2    27  2 2 3 5 6 4 4 2    15   3.00  3.33  2.33  2.00  3.33  2.67  4.00  3.00
2022 11 28    18  4 4 3 3 2 2 4 3    25  4 5 4 4 2 2 4 4    24   4.67  5.33  3.33  2.67  1.33  1.33  4.33  4.00
2022 11 29    20  4 3 4 3 4 4 3 2    43  3 2 6 6 6 5 4 2    25   4.33  3.33  3.67  3.67  4.00  4.67  3.67  3.00
2022 11 30    17  3 3 2 4 4 2 4 2    54  2 3 2 7 7 3 6 4    24   3.33  3.33  2.67  4.33  4.00  3.00  5.00  3.33
2022 12 01    18  2 4 4 3 3 4 3 2    51  3 4 6 7 6 4 4 3    28   3.00  5.00  4.33  3.67  4.33  4.33  3.67  3.67
2022 12 02    11  3 3 3 2 3 2 2 2    31  3 4 5 6 4 4 3 2    16   3.33  3.67  3.33  2.67  3.00  3.33  2.67  2.67
2022 12 03     7  2 3 2 2 1 2 1 1    24  1 4 4 6 3 4 2 1    10   2.67  3.33  2.33  2.67  1.67  2.67  2.00  1.33
2022 12 04    10  1 1 1 2 3 3 3 3    26  1 1 2 4 5 6 4 3    17   2.00  2.00  1.33  2.33  3.33  4.33  4.00  4.00
2022 12 05     7  1 2 2 2 3 2 1 1    19  0 1 4 5 5 3 2 1     8   1.00  2.33  2.67  1.67  3.00  2.00  1.33  0.67
2022 12 06     2  0 1 0 1 1 1 0 0     3  0 0 0 2 3 1 0 0     4   0.67  1.67  1.00  1.00  1.00  1.00  0.67  0.67
2022 12 07     9  0 1 0 3 4 3 2 2    36  0 0 1 6 6 6 4 3    18   1.00  1.33  0.67  3.00  5.00  4.33  3.33  3.00
2022 12 08     9  2 2 2 1 1 2 2 4     7  1 2 3 2 1 1 2 2    11   2.00  3.00  2.33  1.67  1.33  1.33  2.67  4.00
2022 12 09     9  4 1 2 2 2 2 2 1    12  3 1 2 5 3 1 1 0    11   4.33  2.33  2.00  3.00  1.67  1.67  2.00  1.33
2022 12 10     6  2 1 1 3 1 2 2 1     8  1 2 1 4 2 2 2 1     8   3.33  2.00  1.00  2.67  1.00  2.00  2.33  1.67
2022 12 11     7  2 2 2 1 2 2 1 3    23  1 3 5 3 5 5 2 1    10   2.33  2.67  2.00  1.67  1.33  3.33  1.33  3.00
2022 12 12     5  2 1 1 1 2 2 1 2     4  2 1 1 0 1 2 1 1     6   2.67  1.67  0.67  0.67  0.67  1.33  1.33  2.00
2022 12 13     3  2 0 0 0 2 2 1 1     3  2 1 1 1 1 2 0 0     4   2.67  0.33  0.33  0.67  1.00  1.33  0.67  1.00
2022 12 14     3  0 1 0 0 2 2 1 2     2  0 0 0 0 0 2 1 1     4   0.33  1.00  0.67  0.33  0.67  1.67  2.00  2.00
2022 12 15     4  1 1 1 1 2 1 2 1     5  1 1 3 2 2 0 1 0     5   1.33  2.00  2.00  1.33  1.33  1.33  1.33  1.00
2022 12 16    -1  2-1-1-1-1-1-1-1    -1  0-1-1-1-1-1-1-1     9   2.33 -1.00 -1.00 -1.00 -1.00 -1.00 -1.00 -1.00
2022 12 17     2 -1-1 0 0 1 2 1 0     0 -1-1 0 0 0 0 0 0     3  -1.00 -1.00  0.33  0.67  0.67  0.33  0.67  0.33
2022 12 18     2  0 0 0 1 2 1 1 1     3  0 0 0 3 1 0 0 1     4   0.67  0.00  0.33  1.33  1.00  0.67  1.33  2.00
2022 12 19     9  2 4 3 1 2 2 2 0    14  1 4 4 3 3 3 1 2    11   2.33  4.00  3.33  1.67  1.67  1.67  2.00  1.67
2022 12 20     5  2 1 1 1 1 2 1 2     3  1 1 1 1 0 1 1 1     6   1.67  1.00  1.33  1.00  0.67  1.67  2.00  2.67
2022 12 21     7  1 1 3 2 2 3 1 1     8  1 1 3 3 2 3 1 0     9   1.67  1.33  3.00  2.33  2.00  3.33  1.67  1.33
2022 12 22     7  1 0 1 2 2 3 3 2    28  0 0 3 5 6 5 4 2    12   1.00  0.33  1.67  2.00  3.00  3.67  3.67  3.00
2022 12 23    19  4 1 3 2 5 3 2 4    42  2 1 4 5 7 6 3 3    24   4.00  2.33  3.67  3.33  4.67  4.00  2.33  4.67
2022 12 24    15  2 3 4 3 2 4 3 2    49  3 5 6 6 5 6 4 3    23   3.33  4.33  4.00  3.67  3.00  4.33  3.67  3.33
2022 12 25     8  2 3 2 2 2 2 1 2    11  3 2 1 1 3 3 3 3    10   3.00  3.33  1.67  1.33  2.00  2.00  1.67  3.00
2022 12 26    19  1 3 3 4 5 4 2 2    52  2 1 4 7 7 6 3 2    22   3.00  2.33  3.00  4.33  5.00  4.67  2.00  2.33
2022 12 27    16  4 3 3 4 3 3 2 1    54  3 5 6 5 6 7 3 2    25   4.00  4.33  4.67  4.00  4.00  4.33  2.67  1.67
2022 12 28     4  2 1 2 1 2 2 0 0     3  2 2 1 1 1 0 0 1     5   2.67  2.00  1.67  0.67  1.00  0.67  0.67  1.33
2022 12 29     8  0 1 2 1 3 3 2 3    22  0 0 2 2 6 5 3 3    11   0.67  0.67  1.67  1.67  3.00  3.00  3.00  4.00
2022 12 30    22  4 4 3 3 4 4 4 2    55  3 3 5 6 7 6 5 3    31   5.00  3.67  3.67  3.67  5.00  4.67  4.33  3.33
2022 12 31    -1  2 3 2 1 2 2 3-1    -1  2 5 4 4 6 5 4-1    14   3.33  3.33  2.67  2.00  3.00  2.33  3.33 -1.00
